state,2,3,4,5,6,7,8,9,10,11,
5 0 0,double,stand,double,stand,hit,hit,hit,double,double,double,
6 0 0,double,double,double,double,double,double,stand,double,hit,hit,
7 0 0,hit,hit,hit,hit,hit,hit,hit,hit,hit,stand,
8 0 0,hit,hit,hit,double,hit,double,hit,hit,hit,hit,
9 0 0,hit,hit,double,double,double,double,hit,hit,hit,hit,
10 0 0,double,double,double,double,double,double,double,hit,hit,hit,
11 0 0,double,double,double,double,double,double,double,hit,hit,hit,
12 0 0,double,double,hit,hit,stand,stand,double,double,double,hit,
13 0 0,hit,double,double,double,double,double,hit,stand,stand,hit,
14 0 0,stand,stand,double,stand,double,double,double,hit,stand,hit,
15 0 0,stand,double,stand,hit,stand,stand,double,double,double,hit,
16 0 0,stand,double,double,stand,stand,hit,double,hit,hit,double,
17 0 0,stand,stand,double,stand,stand,stand,double,stand,stand,stand,
18 0 0,stand,stand,stand,stand,stand,stand,stand,stand,double,stand,
19 0 0,stand,stand,stand,stand,stand,stand,stand,stand,stand,stand,
20 0 0,stand,stand,stand,stand,stand,stand,stand,stand,stand,stand,
13 1 0,hit,hit,hit,hit,double,hit,hit,hit,hit,hit,
14 1 0,hit,hit,hit,hit,double,hit,hit,hit,hit,hit,
15 1 0,hit,hit,hit,hit,double,hit,hit,hit,hit,hit,
16 1 0,hit,hit,hit,hit,hit,hit,hit,hit,hit,hit,
17 1 0,hit,hit,hit,double,double,hit,hit,hit,hit,hit,
18 1 0,hit,stand,stand,double,stand,stand,stand,hit,hit,hit,
19 1 0,stand,stand,double,stand,stand,stand,stand,stand,hit,hit,
20 1 0,stand,double,stand,stand,stand,stand,double,stand,stand,stand,
4 0 1,split,split,split,split,split,split,split,split,split,split,
6 0 1,split,split,split,split,split,split,split,split,split,split,
8 0 1,split,split,split,split,split,split,split,split,split,double,
10 0 1,double,double,double,double,double,hit,double,double,hit,hit,
12 0 1,split,split,split,split,split,split,split,split,split,split,
14 0 1,split,split,split,split,split,split,split,split,split,double,
16 0 1,split,split,split,split,split,split,split,split,split,stand,
18 0 1,stand,stand,stand,stand,stand,stand,stand,split,split,split,
20 0 1,stand,stand,stand,stand,stand,stand,stand,stand,stand,stand,
12 1 1,hit,hit,hit,hit,double,hit,hit,hit,hit,hit,
